video_id,start_frame,end_frame
000238,30,180
000239,79,115
000241,111,235
000242,116,171
000243,26,150
000244,104,134
000245,159,222
000246,38,86
000247,103,150
000248,87,149
000250,13,72
000251,165,176
000252,58,101
000253,42,107
000254,33,109
000256,101,158
000258,53,80
000259,65,381
000262,38,50
000263,9,103
000264,29,116
000265,47,114
000267,69,117
000269,122,192
000271,150,170
000272,15,75
000273,68,121
000274,55,107
000276,89,113
000277,32,70
000278,65,91
000279,40,114
000280,70,115
000281,130,174
000282,76,125
000283,67,93
000284,24,64
000285,69,121
000286,257,503
000287,147,423
000288,121,429
000289,51,191
000290,56,244
000293,50,138
000294,102,363
000295,184,363
000296,123,340
000297,88,367
000298,49,127
000299,117,250
000300,56,107
000301,127,265
000302,85,184
000303,99,217
000304,0,62
000305,0,83
000306,182,299
000307,37,110
000308,55,118
000309,87,211
000310,39,160
000311,60,198
000312,60,186
000313,65,87
000314,39,173
000315,53,128
000316,22,204
000317,72,228
000318,32,163
000319,68,153
000320,96,248
000322,34,126
000323,68,225
000327,69,219
000328,90,221
000329,129,277
000330,96,297
000331,81,168
000333,96,154
000334,112,600
000336,160,310
000339,52,157
000340,169,289
000341,27,145
000342,22,67
000343,1038,3018
000344,37,290
000345,108,381
000346,76,596
000347,130,462
000348,38,344
000349,50,429
000350,69,319
000351,124,425
000352,117,306
000353,45,79
000354,6,479
000355,40,253
000356,39,109
000357,19,666
000358,95,472
000359,40,621
000360,185,498
000361,89,336
000362,58,85
000363,81,594
000364,55,327
000365,106,238
000368,55,1177
000369,239,299
000373,88,810
000374,253,791
000375,153,342
000376,233,1065
000378,283,1241
000380,80,402
000381,60,228
000382,131,375
000383,147,379
000384,161,423
000387,116,406
000388,11,298
000389,131,357
000391,85,249
000392,193,430
000393,125,262
000395,56,356
000396,21,165
000399,67,567
000400,496,668
000401,142,418
000402,164,309
000403,131,322
000404,84,195
000405,73,320
000406,137,182
000407,522,2530
000409,203,361
000410,280,729
000411,306,2617
000412,163,1198
000413,233,568
000414,253,693
000415,137,2271
000416,297,331
000417,225,371
000418,528,1006
000419,10,35
000420,31,85
000422,35,73
000424,124,890
000427,87,255
000428,30,212
000429,744,1175
000430,14,143
000431,142,267
000432,626,778
000433,202,361
000434,57,299
000435,77,209
000436,89,237
000437,65,262
000438,82,112
000439,69,108
000440,48,83
000441,100,151
000442,84,100
000443,30,97
000444,46,144
000445,100,282
000446,29,134
000447,58,134
000448,42,147
000449,137,230
000451,71,180
000454,191,336
000455,115,351
000456,203,339
000457,82,328
000458,103,348
000459,108,375
000460,191,306
000461,165,290
000462,84,272
000463,81,229
000464,101,336
000465,59,167
000466,151,222
000467,171,344
000468,22,160
000470,71,247
000472,105,317
000473,87,339
000474,55,289
000475,98,334
000478,104,167
000480,211,341
000481,23,114
000482,59,144
000483,30,88
000484,12,80
000485,6,124
000487,77,274
000488,96,376
000489,1178,2076
000491,21,297
000492,73,190
000494,11,97
000495,66,114
000496,84,221
000497,0,50
000498,20,156
000499,39,211
000500,11,93
000501,52,243
000502,61,209
000503,84,182
000505,108,245
000506,112,245
000507,21,205
000508,59,200
000509,71,191
000510,26,248
000511,159,307
000512,50,209
000514,25,96
000515,48,164
000516,26,146
000517,66,351
000519,40,281
000520,74,262
000521,22,69
000522,65,118
000523,174,206
000524,148,367
000525,120,213
000527,230,340
000528,62,137
000529,229,379
000530,129,447
000531,38,552
000532,50,275
000533,65,204
000534,27,143
000535,14,62
000536,20,39
000537,59,280
000538,163,305
000540,146,353
000541,0,142
000542,194,301
000543,39,98
000544,98,296
000545,107,508
000546,182,547
000547,33,340
000548,40,232
000549,159,382
000550,177,398
000551,61,197
000552,34,139
000553,27,67
000554,30,47
000555,125,219
000556,273,437
000557,8,386
000558,292,773
000560,374,474
000561,258,481
000562,213,517
000563,92,180
000564,94,133
000565,185,328
000566,147,386
000567,242,400
000568,188,422
000569,38,89
000570,39,160
000571,65,86
000573,199,352
000574,80,184
000575,30,267
000576,223,671
000577,171,399
000578,93,182
000579,155,247
000580,36,310
000581,63,94
000582,36,181
000584,16,257
000585,142,245
000586,152,248
000587,42,96
000588,126,271
000591,161,398
000592,238,1171
000593,12,51
000594,13,56
000595,9,46
000598,2,306
000599,176,556
000600,127,331
000601,25,234
000602,446,542
000603,436,618
000604,83,104
000605,63,424
000606,84,249
000607,209,424
000608,59,175
000609,25,38
000610,109,264
000611,31,144
000612,66,122
000613,118,185
000614,222,271
000615,130,142
000616,151,229
000617,48,108
000618,94,140
000619,87,152
000620,57,164
000621,105,169
000622,14,109
000624,48,169
000625,100,194
000626,36,179
000627,101,324
000628,238,365
000630,106,248
000631,28,100
000632,140,181
000633,60,252
000636,86,338
000638,131,215
000639,86,159
000640,235,282
000643,34,354
000644,66,89
000646,81,114
000647,24,120
000649,198,280
000650,227,387
000651,179,287
000652,93,190
000653,286,791
000654,163,403
000655,146,169
000657,160,394
000658,238,506
000659,289,593
000660,136,512
000661,81,326
000662,104,520
000664,187,530
000665,83,368
000666,168,392
000667,273,612
000668,175,775
000669,133,459
000670,278,931
000671,344,687
000675,19,71
000676,32,81
000677,75,171
000678,93,192
000679,20,78
000680,90,183
000681,30,169
000682,105,179
000685,85,186
000686,57,95
000687,77,167
000688,42,98
000690,38,180
000691,33,99
000693,124,198
000694,44,115
000697,61,178
000698,12,62
000699,38,196
000700,21,114
000701,43,167
000702,27,155
000703,14,111
000704,35,182
000705,41,97
000707,61,155
000708,51,251
000709,69,235
000710,149,263
000711,745,1176
000712,131,266
000715,145,766
000716,5,48
000717,19,55
000719,20,50
000721,43,91
000722,55,106
000724,12,54
000725,35,105
000726,12,32
000727,25,84
000728,14,54
000729,5,66
000735,56,100
000736,20,65
000737,33,79
000739,94,209
000742,82,121
000743,62,161
000744,80,104
000747,73,135
000748,77,169
000750,23,163
000751,5,25
000752,58,127
000753,37,110
000756,33,116
000757,57,126
000758,48,130
000759,47,113
000760,82,200
000761,28,66
000762,67,102
000763,40,105
000764,45,112
000765,55,163
000766,52,192
000767,64,184
000769,84,226
000772,73,270
000773,84,367
000774,85,136
000775,79,211
000777,96,139
000778,91,284
000782,53,156
000783,131,222
000786,74,177
000789,138,360
000790,93,255
000792,226,618
000793,184,435
000795,104,203
000798,218,363
000799,145,248
000800,190,361
000803,198,479
000804,345,737
000808,182,618
000809,208,796
000810,200,474
000813,469,974
000814,293,390
000817,233,1215
000818,153,344
000819,80,152
000820,102,458
000822,277,593
000824,19,125
000825,62,241
000826,53,185
000827,111,121
000828,162,416
000829,241,417
000830,133,357
000831,213,408
000832,151,385
000833,14,353
000834,99,229
000835,434,478
000837,335,359
000838,178,441
000839,37,455
000840,119,609
000841,72,302
000842,69,305
000843,200,456
000844,121,219
000845,99,270
000846,54,190
000847,166,230
000848,92,159
000849,242,285
000850,78,182
000851,33,104
000852,72,118
000853,88,115
000854,280,439
000855,112,451
000856,105,258
000857,78,283
000858,166,221
000859,110,230
000860,81,110
000861,63,253
000862,87,247
000863,142,328
000864,173,315
000865,178,326
000866,199,392
000867,107,333
000868,169,240
000869,47,123
000870,181,294
000871,22,185
000872,47,96
000874,16,85
000875,44,295
000877,7,177
000878,34,247
000879,75,796
000880,146,343
000881,56,238
000882,199,412
000883,58,110
000884,23,120
000885,19,137
000886,48,360
000887,767,1559
000888,12,52
000889,6,180
000890,20,77
000891,0,78
000892,44,62
000893,13,51
000894,10,50
000896,10,69
000897,11,45
000899,40,77
000900,14,88
000901,21,80
000902,13,27
000905,13,34
000906,40,74
000909,25,72
000910,16,63
000911,9,59
000912,46,90
000915,0,46
000917,8,80
000918,24,76
000921,39,84
000922,26,165
000923,45,289
000924,99,717
000925,225,704
000926,182,359
000927,82,356
000928,102,474
000929,349,554
000930,80,154
000931,81,213
000932,83,216
000933,125,206
000934,84,188
000935,1831,3134
000936,79,307
000937,68,236
000939,112,370
000940,58,207
000941,47,236
000942,459,622
000943,75,324
000944,71,316
000946,45,206
000947,55,352
000948,22,377
000950,46,227
000952,133,316
000957,68,405
000958,34,408
000960,44,289
000961,122,376
000963,85,531
000964,49,376
000965,76,451
000967,129,424
000968,128,314
000969,43,289
000970,16,486
000971,37,251
000972,28,84
000973,10,605
000974,113,482
000975,60,668
000976,186,530
000977,84,316
000978,64,88
000979,89,211
000982,57,1140
000983,91,260
000984,225,319
000985,148,291
000986,160,336
000987,154,325
000988,110,316
000989,141,313
000990,229,379
000993,164,331
000994,292,335
000995,201,372
000996,202,401
000997,204,425
000998,117,239
000999,207,338
001001,1057,1191
001002,344,584
001003,226,831
001004,111,275
001011,42,64
001013,16,119
001014,23,106
001016,53,107
001017,20,88
001018,25,97
001019,63,94
001022,53,197
001023,90,256
001024,188,242
001043,107,605
001054,30,156
001059,1552,8607
001060,30,283
001071,43,279
001076,88,393
001083,124,555
001086,31,163
001088,81,226
001089,11,102
001090,61,86
001092,16,55
001093,9,58
001096,22,119
001097,23,108
001098,13,43
001100,0,26
001102,52,75
001103,31,103
001104,24,95
001107,48,96
001108,128,371
001109,74,504
001110,143,440
001112,640,1333
001114,214,518
001117,164,504
001118,205,305
001119,176,420
001123,97,188
001126,66,173
001128,119,372
001132,26,60
001133,16,68
001134,56,116
001135,34,191
001140,39,166
001141,40,147
001142,48,140
001147,92,164
001151,34,92
001154,20,151
001159,54,139
001160,83,162
001162,17,89
001165,94,215
001171,98,198
001177,0,55
001180,50,118
001188,70,146
001191,31,95
001194,98,213
001195,79,208
001201,90,287
001202,162,242
001203,184,290
001204,182,240
001205,169,343
001206,169,349
001207,200,257
001208,176,247
001209,182,273
001210,170,239
001211,144,224
001212,48,212
001213,58,92
001215,147,1384
001220,328,439
001222,75,221
001223,40,337
001224,104,251
001225,52,252
001226,26,265
001230,42,250
001242,40,97
001243,49,378
001244,81,238
001246,39,486
001248,38,99
001249,25,180
001250,137,367
001256,56,219
001260,83,273
001262,212,840
001263,174,388
001264,80,303
001265,220,381
001266,195,583
001267,33,64
001268,81,120
001270,89,222
001273,104,281
001275,28,132
001277,50,155
001278,145,233
001285,134,1365
001286,127,215
001291,71,154
001292,47,132
001294,47,142
001296,113,208
001298,93,215
001300,202,291
001301,80,210
001302,130,279
001309,110,262
001310,49,359
001312,145,251
001313,56,210
001315,32,133
001317,34,155
001324,101,375
001325,77,281
001327,128,249
001328,19,244
001331,132,169
001332,86,173
001333,95,151
001336,37,639
001341,18,171
001350,51,102
001352,66,152
001353,73,143
001355,66,107
001356,62,129
001357,61,155
001363,11,182
001367,62,218
001370,104,272
001371,68,152
001372,81,172
001375,184,429
001387,98,301
001388,65,271
001389,111,170
001390,212,874
001403,56,222
001405,135,298
001406,104,359
001407,95,221
001408,88,205
001410,69,794
001414,71,205
